date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:01	107435/107435	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/home.html	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/home.html	(from )
14:46:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jun%202023%2011:44:38%20GMT	https://www.kri8thm.in/robots.txt		(from )
14:46:02	1403/1403	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/images/logos/favicon.png	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/images/logos/favicon.png	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:02	3006/3006	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-iphone.png	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-iphone.png	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:02	5151/5151	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-ipad.png	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-ipad.png	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:02	3788/3788	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-iphone-retina.png	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-iphone-retina.png	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:03	5296/5296	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-ipad-retina.png	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/images/logos/touch-icon-ipad-retina.png	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:03	325249/325249	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2015:49:08%20GMT	https://www.kri8thm.in/html/listen/theme/demo/css/plugins.bundle.css	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/css/plugins.bundle.css	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:03	64292/64292	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2015:49:06%20GMT	https://www.kri8thm.in/html/listen/theme/demo/css/styles.bundle.css	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/css/styles.bundle.css	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
14:46:04	19014/19014	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jan%202023%2015:49:14%20GMT	https://www.kri8thm.in/html/listen/theme/demo/index.html	D:/musiInIT/www.kri8thm.in/html/listen/theme/demo/index.html	(from https://www.kri8thm.in/html/listen/theme/demo/home.html)
